measurementInterval,datasetCollector,measurementID,verbatimScientificName,acceptedScientificName,continent,country,verbatimLocality,decimallatitude,decimallongitude,massing_summer_max,massing_summer_max_month,massing_fall_max,massing_fall_max_month,massing_winter_min,massing_winter_min_month,massing_summerY2_max,massing_summerY2_max_month,massing_summer.winter_decrease_mean,massing_fall.winter_decrease_mean,massing_summer.winter_decrease_percent,massing_fall.winter_decrease_percent,massing_winter.summerY2_increase_percent,BCH_summer_max,BCH_summer_max_month,BCH_fall_max,BCH_fall_max_month,BCH_winter_min,BCH_winter_min_month,BCH_summerY2_max,BCH_summerY2_max_month,BCH_summer.winter_decrease_mean,BCH_fall.winter_decrease_mean,BCH_summer.winter_decrease_percent,BCH_fall.winter_decrease_percent,BCH_winter.summerY2_increase_percent,measurementNotes,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
,Lazaro et al. 2021,cabon_1956,Sorex minutus,Sorex minutus,Europe,Poland,"""Bialowieza""",52.728783,23.870556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1479,NA,0.1456,,6.794999937,7.888000061,26.18162422,782.83642,21.12000084,-9.008000374,30.12800121,16.48133342,-1.920000116,16.48133342,-2.768666814,594,82,29,33.18342684,219,92,219,104
seasonal,this study; Lazaro et al. 2021,churchfield_1981_table2a,Sorex araneus,Sorex araneus,Europe,United Kingdom,"near Farnham, Hampshire; Alice Holt Forest",51.166368,-0.844145,6.46,NA,NA,NA,6.03,NA,8.93,NA,-0.43,NA,-0.066563467,NA,0.48092869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,autum/winter(Y1) and spring/summer (Y2) are pooled,10.07516664,7.840333115,38.44054351,470.739804,20.08399963,-0.312000006,20.39599964,5.670666806,14.44999989,16.11466662,4.727333384,822,89,49,21.66976132,264,161,167,236
seasonal,this study; Lazaro et al. 2021,churchfield_1981_table2b,Sorex araneus,Sorex araneus,Europe,United Kingdom,"Cambridgeshire, Monks Wood National Nature Reserve",52.405456,-0.240841,7.13,NA,NA,NA,6.31,NA,9.5,NA,-0.82,NA,-0.115007013,NA,0.505546751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,autum/winter(Y1) and spring/summer (Y2) are pooled; massing_summerY2_increase is higher than originally reported in Lazaro et al. 2021,9.783333369,7.71799996,37.85560167,474.9149655,19.68799973,-0.699999988,20.38799971,5.301999966,6.033333331,15.79200014,4.332000107,588,55,39,11.05358848,162,127,152,147
seasonal,this study,churchfield_1981_table2c,Sorex minutus,Sorex minutus,Europe,United Kingdom,"Cambridgeshire, Monks Wood National Nature Reserve",52.405456,-0.240841,3,NA,NA,NA,2.84,NA,2.73,NA,-0.16,NA,-0.053333333,NA,-0.038732394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,autum/winter(Y1) and spring/summer (Y2) are pooled,9.783333369,7.71799996,37.85560167,474.9149655,19.68799973,-0.699999988,20.38799971,5.301999966,6.033333331,15.79200014,4.332000107,588,55,39,11.05358848,162,127,152,147
monthly,this study; Lazaro et al. 2021,churchfield_1995_fig5,Sorex araneus,Sorex araneus,Europe,United Kingdom,"near Ascot, Berkshire; Imperial College at Silwood Park",51.411333,-0.642829,7.884477477,9,7.988789957,10,6.891782362,2,12.02587653,6,-0.992695115,-1.097007596,-0.125904997,-0.137318368,0.744958837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calculated percentages higher than reported in original reference and in Lazaro et al. 2021,10.14566666,7.765999984,38.42271876,470.1827364,20.02400017,-0.188000009,20.21200018,7.764666716,6.473333451,16.16066647,4.781333325,684,70,42,16.92499685,207,147,149,184
,Lazaro et al. 2021,dehnel_1949a,Sorex araneus,Sorex araneus,Europe,Poland,Bia_owie_a,52.728783,23.870556,NA,9,NA,NA,5.7,1,11.55,8,NA,NA,-0.24,NA,1.026,6.34,6,NA,NA,5.22,1.5,5.89,6,-1.12,NA,-0.1767,NA,0.1283,,6.794999937,7.888000061,26.18162422,782.83642,21.12000084,-9.008000374,30.12800121,16.48133342,-1.920000116,16.48133342,-2.768666814,594,82,29,33.18342684,219,92,219,104
,Lazaro et al. 2021,dehnel_1949b,Sorex minutus,Sorex minutus,Europe,Poland,"""Bialowieza""",52.728783,23.870556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1811,NA,0.1178,,6.794999937,7.888000061,26.18162422,782.83642,21.12000084,-9.008000374,30.12800121,16.48133342,-1.920000116,16.48133342,-2.768666814,594,82,29,33.18342684,219,92,219,104
,Lazaro et al. 2021,homolka_1980a,Sorex araneus,Sorex araneus,Europe,Czech Republic,Lednice,48.799918,16.803398,8.25,6,NA,NA,6.6,1,12.9,5,-1.65,NA,-0.2235,NA,0.9545,6.05,6.5,NA,NA,5.3,2,6.08,5,-0.75,NA,-0.124,NA,0.147,,9.720999998,8.568000232,28.55619265,766.3118622,23.72800064,-6.276000023,30.00400066,19.02600002,1.785333345,19.02600002,0.130666574,576,81,27,40.1994196,227,86,227,90
,Lazaro et al. 2021,hyvarinen_1994_table1a,Sorex araneus,Sorex araneus,Europe,Finland,Joensuu and Rautjärvi,62.610277,29.771098,6.7,NA,NA,NA,5.5,NA,NA,NA,-1.2,NA,-0.179104478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.671833284,7.718333438,22.13332555,979.9595817,19.49600029,-15.3760004,34.87200069,15.11333323,-4.339333435,15.11333323,-9.282666842,602,78,31,31.88433374,214,96,214,118
seasonal,Lazaro et al. 2021,kowalska-dyrcz_1961_table1and2,Sorex araneus,Sorex araneus,Europe,Poland,Wroc_aw,51.116667,17.083333,7.04,6,NA,NA,5.51,1.5,10.5,6,-1.53,NA,-0.217329545,NA,0.905626134,6.33,6,NA,NA,5.42,1.5,5.9,6,-0.91,NA,-0.143759874,NA,0.088560886,,9.218833273,8.231000135,29.2460204,724.7530437,22.36400032,-5.78000021,28.14400053,18.14733315,1.401999811,18.14733315,0.329333206,565,87,24,43.27584751,233,81,233,85
,Lazaro et al. 2021,kubik_1951a,Sorex araneus,Sorex araneus,Europe,Poland,Pu_awy,51.41655,21.96939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,7,NA,NA,5.42,1.5,5.81,7.5,-0.28,NA,-0.049122807,NA,0.07195572,calculated percentage decrease lower than reported in Lazaro et al. 2021,8.133500056,7.853666671,26.32631563,784.2085123,22.09200096,-7.739999771,29.83200073,17.72800032,-0.487999956,17.72800032,-1.497999907,492,68,23,37.56393574,187,73,187,76
,Lazaro et al. 2021,kubik_1951b,Sorex minutus,Sorex minutus,Europe,Poland,"""Pulawy""",51.416667,21.966667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.191,NA,0.155,,8.136333489,7.830000155,26.43841246,780.4303533,21.97599983,-7.639999867,29.6159997,17.70466709,-0.442000032,17.70466709,-1.419999957,495,69,23,37.75028201,189,74,189,77
,Lazaro et al. 2021,kuuse_1987,Sorex araneus,Sorex araneus,Europe,Estonia,various locations,59.056093,24.642334,8.44,10,8.44,10,5.97,1,11.38,4,-2.47,-2.47,-0.292654028,-0.292654028,0.906197655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,massing_winter-summerY2_increase_percent is different than originally reported in Lazaro et al. 2021,5.357500142,7.723000082,25.80526586,796.5795375,19.54400063,-10.38399983,29.92800045,14.34200033,-0.798666596,15.48866701,-4.031999901,720,81,36,30.04154526,237,113,217,151
,Lazaro et al. 2021,lazaro_2017,Sorex araneus,Sorex araneus,Europe,Germany,Radolfzell,47.766042,8.99703,8.29,7,NA,NA,6.78,1,12.8,5,-1.51,NA,-0.176,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9.055500127,7.892333473,29.98151419,678.7970716,21.16799927,-5.155999661,26.32399893,17.42133347,2.114000092,17.42133347,0.775333365,864,106,49,25.2455148,293,153,293,169
,Lazaro et al. 2021,lazaro_2018,Sorex araneus,Sorex araneus,Europe,Germany,Radolfzell,47.766042,8.99703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.27,7,NA,NA,5.85,2,6.22,NA,-0.42,NA,-0.129,NA,0.138,,9.055500127,7.892333473,29.98151419,678.7970716,21.16799927,-5.155999661,26.32399893,17.42133347,2.114000092,17.42133347,0.775333365,864,106,49,25.2455148,293,153,293,169
